  -81666372983891.328       -44318959518681.125       -5546227649705.0049        645411925960.32739     
  -2.5084249210927783        3.6508008733818547       -6.7999464568418775      -0.70665915772173993        6.9527816754083434       -3.0584446368004423        1.7920177664452803     
  -2.3811952803400196        3.4673215236646464       -6.4620862551222666      -0.66719310149043887        6.6063595447416059       -2.9080001724057625        1.7047669823868814     
  -2.2611775413004946        3.2941485864586970       -6.1429910235240452      -0.63016077878499943        6.2792321291491513       -2.7658281416653581        1.6222648353193092     
  -2.1479204611612341        3.1306429553011950       -5.8415100725307694      -0.59539813769934469        5.9702128863639050       -2.6314263250638259        1.5442259872580641     
  -2.0410036500955333        2.9762088461865002       -5.5565698230508884      -0.56275309130371731        5.6781950494262814       -2.5043258295999085        1.4703838379585594     
  -1.9400352962335292        2.8302905853713543       -5.2871682525556141      -0.53208462354783803        5.4021457890713593       -2.3840886944285673        1.4004891952578418     
  -1.8446500291049361        2.6923697327059304       -5.0323696717233624      -0.50326188783768777        5.1411008731000924       -2.2703056730122038        1.3343090449760124     
  -1.7545070336198925        2.5619623241714358       -4.7913000007653332      -0.47616343785561949        4.8941597129564265       -2.1625942032101135        1.2716254023691993     
  -1.6692882129767637        2.4386164240882864       -4.5631423495437682      -0.45067648208294087        4.6604808262272144       -2.0605965067142895        1.2122342734731424     
  -1.5886965813426845        2.3219098045857596       -4.3471329788708166      -0.42669623916210719        4.4392776164758532       -1.9639778579124478        1.1559446751989808     
  -1.5124547239701189        2.2114478463976708       -4.1425575322236297      -0.40412531384576039        4.2298144953425068       -1.8724249716559851        1.1025777343392344     
  -1.4403034154507663        2.1068615653176290       -3.9487475815238353      -0.38287313399337203        4.0314032991923883       -1.7856445113406563        1.0519658571611477     
  -1.3720003127484832        2.0078058122479918       -3.7650774322076468      -0.36285544315405421        3.8433999705533592       -1.7033617135001053        1.0039519598474922     
  -1.3073187672323721        1.9139576121564197       -3.5909611499924146      -0.34399382398897932        3.6652014934125003       -1.6253191109282665       0.95838875090480280     
  -1.2460467304159153        1.8250146085073100       -3.4258498231927477      -0.32621526167472958        3.4962430525505468       -1.5512753582259440       0.91513806697639066     
  -1.1879857252168224        1.7406936387037819       -3.2692290278304093      -0.30945173702329215        3.3359954226461523       -1.4810041237674088       0.87407026767439921     
  -1.1329499061366324        1.6607294135323643       -3.1206164832862919      -0.29363987601977731        3.1839625160045806       -1.4142930906069686       0.83506365623672929     
  -1.0807651875255424        1.5848733002948667       -2.9795598559883714      -0.27872058570900926        3.0396791471154030       -1.3509430091866987       0.79800395726432061     
  -1.0312684436545465        1.5128921719251680       -2.8456347639858652      -0.26463875569653728        2.9027089435652731       -1.2907668227395734       0.76278382401680633     
 -0.98430674515905237        1.4445673763546480       -2.7184428933519418      -0.25134297254528704        2.7726424009324835       -1.2335888633129242       0.72930238192954122     
 -0.93973668327802351        1.3796937549380131       -2.5976102543740187      -0.23878523859067047        2.6490950992624671       -1.1792440956440657       0.69746480798726862     
 -0.89742372228000511        1.3180787304780381       -2.4827855868635038      -0.22692074128570075        2.5317060300193686       -1.1275774207340921       0.66718193293486727     
 -0.85724159493559382        1.2595414876264650       -2.3736388466991314      -0.21570761840470232        2.4201360501242597       -1.0784430261845903       0.63836988040489440     
 -0.81907176771362278        1.2039121782702003       -2.2698598227423412      -0.20510674842501020        2.3140664477202280       -1.0317037840424113       0.61094972269920955     
 -0.78280291263567292        1.1510312075834803       -2.1711568453584560      -0.19508156176033778        2.2131976039987227      -0.98723068982249995       0.58484716432848161     
 -0.74833043920738485        1.1007485635885472       -2.0772555779225179      -0.18559785604908324        2.1172477557998071      -0.94490233752456154       0.55999224850957474     
 -0.71555605314113313        1.0529231865178901       -1.9878979063210607      -0.17662363623075736        2.0259518363729847      -0.90460443855102091       0.53631908161361153     
 -0.68438733921553008        1.0074223968060712       -1.9028408922890441      -0.16812895576048556        1.9390604075803946      -0.86622936499673031       0.51376557696671132     
