#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    5.8778     0.4925426     2.146496     0.2772163
    5.8874     0.5351036     2.264756     0.2755089
     5.897     0.6572246     2.313321      0.236528
    5.9066     0.7595024     2.314472     0.2545409
    5.9162     0.9462012     1.834243      0.207115
    5.9258      1.095325     1.497165     0.2088267
    5.9354      1.324859     1.214605     0.2338742
     5.945      1.489903     1.237908     0.2062972
    5.9546      1.548689     1.285248     0.2056328
    5.9642      1.620978     1.606155     0.2167291
    5.9738      1.719216     1.886356     0.2257997
    5.9834      2.001947     2.265452     0.2554496
     5.993      2.052307      2.21459     0.2810269
    6.0026       1.89328     1.946962     0.2979273
    6.0122      1.983976     1.759821     0.3382453
    6.0218      1.915388     1.698951     0.3487017
    6.0314      1.659194     1.579169     0.3790181
     6.041       1.50272     1.407318     0.3640623
    6.0506      1.352647     1.354568     0.3830911
    6.0602       1.42065     1.265546       0.37125
    6.0698       1.42721     1.102134     0.3787802
    6.0794      1.129562    0.9540301     0.3632514
     6.089      0.934474    0.7727549       0.30044
    6.0986     0.7098303    0.7058898     0.2957469
    6.1082     0.5862799    0.6206365     0.2578259
    6.1178     0.4400745     0.617299     0.2257286
    6.1274     0.3378728    0.6318334     0.1901176
     6.137     0.2774167    0.6401875     0.1595403
    6.1465     0.2389777     0.651796     0.1291529
    6.1561     0.2433743    0.6798251     0.1070469
    6.1657     0.2424343    0.7090472    0.08324418
    6.1753     0.2356599    0.7567551    0.07274954
    6.1849     0.2547567    0.8020755    0.06960842
    6.1945     0.2683846    0.9216039    0.06721304
    6.2041     0.2720745     1.136037    0.06229679
    6.2137     0.2891669     1.217538    0.07077026
    6.2233     0.3055238     1.262032    0.06227309
    6.2329     0.3115692     1.354166    0.06136378
    6.2425     0.3229329     1.262216    0.05330475
    6.2521     0.3321782     1.059312    0.04886141
    6.2617     0.3473994    0.8570253    0.05048956
    6.2713     0.3582797    0.8838118    0.04785385
    6.2809     0.3548927    0.8488902    0.04558739
    6.2905     0.3834414    0.9179245    0.04615303
    6.3001     0.4087467     1.078328    0.03371911
    6.3097     0.4261186     1.240717    0.03536748
    6.3193     0.4764039     1.081789    0.03491104
    6.3289     0.5713768    0.9918869     0.0285403
    6.3385     0.6500118    0.7920422    0.03365894
